map_link,name,rating,speciality,contact,website_href
https://www.google.com/maps/place/Jagat+Hospital+and+Research+Centre./data=!4m7!3m6!1s0x390c65ce3d88453f:0x986daf12c0511747!8m2!3d28.969829!4d77.7234403!16s%2Fg%2F11gr2z_5lq!19sChIJP0WIPc5lDDkRRxdRwBKvbZg?authuser=0&hl=en&rclk=1,Jagat Hospital and Research Centre.,3.6,Hospital,097191 22280,
https://www.google.com/maps/place/kailashi+super+speciality+hospital+%26+blood+bank/data=!4m7!3m6!1s0x390c6408eaaaaaeb:0xb556089e5f7bc760!8m2!3d29.0298895!4d77.6710537!16s%2Fg%2F11b6_zs6s4!19sChIJ66qq6ghkDDkRYMd7X54IVrU?authuser=0&hl=en&rclk=1,kailashi super speciality hospital & blood bank,3.8,Hospital,070551 15002,
https://www.google.com/maps/place/Future+Plus+Multi-Super+Speciality+Hospital/data=!4m7!3m6!1s0x390c6fb11044e20f:0xac946fec1546dbb1!8m2!3d29.0645519!4d77.7113069!16s%2Fg%2F11m_gydwx8!19sChIJD-JEELFvDDkRsdtGFexvlKw?authuser=0&hl=en&rclk=1,Future Plus Multi-Super Speciality Hospital,4.1,Hospital,098370 24991,https://www.futureplushospital.in/
https://www.google.com/maps/place/Hayat+Hospital+Meerut/data=!4m7!3m6!1s0x390c659b82057131:0x5715542bde18df9e!8m2!3d28.9526654!4d77.7234566!16s%2Fg%2F11twjlnc6d!19sChIJMXEFgptlDDkRnt8Y3itUFVc?authuser=0&hl=en&rclk=1,Hayat Hospital Meerut,4.3,Hospital,089541 54588,
https://www.google.com/maps/place/Jindal+Hospital/data=!4m7!3m6!1s0x390c64fb096abbb9:0x52394f9dbfadfa95!8m2!3d28.9829159!4d77.7079076!16s%2Fg%2F12lv1_rxh!19sChIJubtqCftkDDkRlfqtv51POVI?authuser=0&hl=en&rclk=1,Jindal Hospital,4.4,Hospital,0121 400 0444,http://www.jindalhospital.org/
https://www.google.com/maps/place/Sushila+Jaswantrai+Maternity+%26+General+Hospital/data=!4m7!3m6!1s0x390c64dff104d555:0x87be365b87ec34da!8m2!3d28.9911582!4d77.7230747!16s%2Fg%2F1tj1qg30!19sChIJVdUE8d9kDDkR2jTsh1s2voc?authuser=0&hl=en&rclk=1,Sushila Jaswantrai Maternity & General Hospital,2.9,Hospital,0121 266 3887,https://jaswantraihospital.in/
https://www.google.com/maps/place/Dhanvantri+Jeevan+Rekha+hospital/data=!4m7!3m6!1s0x390c64dfaca9c4f9:0xefc7be0ea3945647!8m2!3d28.9891351!4d77.7248275!16s%2Fg%2F124yhy33l!19sChIJ-cSprN9kDDkRR1aUow6-x-8?authuser=0&hl=en&rclk=1,Dhanvantri Jeevan Rekha hospital,3.4,General hospital,011 2996 1284,http://www.djrl.org.in/
"https://www.google.com/maps/place/Metro+Hospital+%26+Heart+Institute,+Meerut+UP+%7C+Best+Heart+Hospital+in+Meerut,+Uttar+Pradesh/data=!4m7!3m6!1s0x399957edcd4b4959:0x541b6b990d9da976!8m2!3d28.9962847!4d77.7085658!16s%2Fg%2F1tf194sl!19sChIJWUlLze1XmTkRdqmdDZlrG1Q?authuser=0&hl=en&rclk=1","Metro Hospital & Heart Institute, Meerut UP | Best Heart Hospital in Meerut, Uttar Pradesh",4,Hospital,0121 266 5041,https://www.metrohospitals.com/hospital/metro-hospital-and-heart-institute-meerut-up/
https://www.google.com/maps/place/Jeevan+Hospital/data=!4m7!3m6!1s0x390c65c329f15291:0x30870cc68332db56!8m2!3d28.9660413!4d77.7369142!16s%2Fg%2F11jylmcbth!19sChIJkVLxKcNlDDkRVtsyg8YMhzA?authuser=0&hl=en&rclk=1,Jeevan Hospital,4.2,Hospital,089587 24418,
https://www.google.com/maps/place/j+p+hospital/data=!4m7!3m6!1s0x390c6566ef123567:0x7396d28eca9bc757!8m2!3d28.9910497!4d77.7285668!16s%2Fg%2F11fsxcvtzg!19sChIJZzUS72ZlDDkRV8ebyo7SlnM?authuser=0&hl=en&rclk=1,j p hospital,3.6,Hospital,,
